featurePricingId,tierOrder,tierName,fromQuantity,toQuantity,unitPrice,costPrice
350468fa-9346-41aa-bb2f-a3ec80f65e59,1,STARTER,1,100.0,0.5,0.25
350468fa-9346-41aa-bb2f-a3ec80f65e59,2,GROWTH,101,500.0,0.45,0.25
350468fa-9346-41aa-bb2f-a3ec80f65e59,3,SCALE,501,2000.0,0.4,0.25
350468fa-9346-41aa-bb2f-a3ec80f65e59,4,ENTERPRISE,2001,,0.3571,0.25
1518cad9-dba1-4216-8794-f18d440f7723,1,STARTER,1,100.0,0.1,0.03
1518cad9-dba1-4216-8794-f18d440f7723,2,GROWTH,101,500.0,0.09,0.03
1518cad9-dba1-4216-8794-f18d440f7723,3,SCALE,501,2000.0,0.08,0.03
1518cad9-dba1-4216-8794-f18d440f7723,4,ENTERPRISE,2001,,0.07,0.03
8010390f-b34a-4bea-bd63-85399ea6d658,1,STARTER,1,50.0,100.0,90.0
8010390f-b34a-4bea-bd63-85399ea6d658,2,GROWTH,51,200.0,175.0,90.0
8010390f-b34a-4bea-bd63-85399ea6d658,3,SCALE,201,500.0,300.0,90.0
8010390f-b34a-4bea-bd63-85399ea6d658,4,ENTERPRISE,501,,500.0,90.0
6b8ffe25-a4cf-45a7-a536-3b3b6319c58f,1,STARTER,1,100.0,49.0,25.0
6b8ffe25-a4cf-45a7-a536-3b3b6319c58f,2,GROWTH,101,500.0,44.1,25.0
6b8ffe25-a4cf-45a7-a536-3b3b6319c58f,3,SCALE,501,2000.0,39.2,25.0
6b8ffe25-a4cf-45a7-a536-3b3b6319c58f,4,ENTERPRISE,2001,,35.71,25.0
571abe30-bd72-4f60-87e0-bf03ea945fb6,1,STARTER,1,50.0,100.0,90.0
571abe30-bd72-4f60-87e0-bf03ea945fb6,2,GROWTH,51,200.0,175.0,90.0
571abe30-bd72-4f60-87e0-bf03ea945fb6,3,SCALE,201,500.0,300.0,90.0
571abe30-bd72-4f60-87e0-bf03ea945fb6,4,ENTERPRISE,501,,500.0,90.0
f8fc6195-7aad-46b0-860d-4dd86d76417d,1,STARTER,1,100.0,8.0,4.0
f8fc6195-7aad-46b0-860d-4dd86d76417d,2,GROWTH,101,500.0,7.2,4.0
f8fc6195-7aad-46b0-860d-4dd86d76417d,3,SCALE,501,2000.0,6.4,4.0
f8fc6195-7aad-46b0-860d-4dd86d76417d,4,ENTERPRISE,2001,,5.71,4.0
455759f2-0232-4b5b-9353-d025f5be7879,1,STARTER,1,100.0,8.0,3.5
455759f2-0232-4b5b-9353-d025f5be7879,2,GROWTH,101,500.0,7.2,3.5
455759f2-0232-4b5b-9353-d025f5be7879,3,SCALE,501,2000.0,6.4,3.5
455759f2-0232-4b5b-9353-d025f5be7879,4,ENTERPRISE,2001,,5.6,3.5
8a2dfe40-bb6f-4a42-aa79-8c2b50513042,1,STARTER,1,50.0,100.0,90.0
8a2dfe40-bb6f-4a42-aa79-8c2b50513042,2,GROWTH,51,200.0,175.0,90.0
8a2dfe40-bb6f-4a42-aa79-8c2b50513042,3,SCALE,201,500.0,300.0,90.0
8a2dfe40-bb6f-4a42-aa79-8c2b50513042,4,ENTERPRISE,501,,500.0,90.0
12f25f8d-0860-44b5-a103-60dec5466efb,1,STARTER,1,100.0,5.0,2.0
12f25f8d-0860-44b5-a103-60dec5466efb,2,GROWTH,101,500.0,4.5,2.0
12f25f8d-0860-44b5-a103-60dec5466efb,3,SCALE,501,2000.0,4.0,2.0
12f25f8d-0860-44b5-a103-60dec5466efb,4,ENTERPRISE,2001,,3.5,2.0
6561127d-827d-40bc-b5f1-eee91fc0d6a9,1,STARTER,1,50.0,100.0,90.0
6561127d-827d-40bc-b5f1-eee91fc0d6a9,2,GROWTH,51,200.0,175.0,90.0
6561127d-827d-40bc-b5f1-eee91fc0d6a9,3,SCALE,201,500.0,300.0,90.0
6561127d-827d-40bc-b5f1-eee91fc0d6a9,4,ENTERPRISE,501,,500.0,90.0
fff44e6b-2761-42f4-9bbd-fae9a475a53a,1,STARTER,1,100.0,7.0,3.0
fff44e6b-2761-42f4-9bbd-fae9a475a53a,2,GROWTH,101,500.0,6.3,3.0
fff44e6b-2761-42f4-9bbd-fae9a475a53a,3,SCALE,501,2000.0,5.6,3.0
fff44e6b-2761-42f4-9bbd-fae9a475a53a,4,ENTERPRISE,2001,,4.9,3.0
