id,categoryId,code,name,subCategory,description,energyType,usageType,status,createdAt,updatedAt,createdBy,updatedBy
6bcf869d-dbcf-4dca-a8cf-86e25c9e0c96,073bd28f-6cda-4839-9a21-8218de3498d9,SCOOTER_PETROL,Scooter,SCOOTER,Step-through two-wheeler used for personal and urban mobility.,PETROL,PRIVATE,ACTIVE,2026-09-12 06:30:12.252,2026-09-12 06:30:12.252,,
e693b875-827d-4f19-b4b2-d13691a51b39,073bd28f-6cda-4839-9a21-8218de3498d9,SCOOTER_ELECTRIC,Scooter,SCOOTER,Step-through two-wheeler used for personal and urban mobility.,ELECTRIC,PRIVATE,ACTIVE,2026-09-12 06:30:12.252,2026-09-12 06:30:12.252,,
00e43bed-c29e-48ca-9bce-e7903951f02f,073bd28f-6cda-4839-9a21-8218de3498d9,MOTORCYCLE_PETROL,Motorcycle,MOTORCYCLE,"Two-wheeled motor vehicle including commuter, street and touring motorcycles.",PETROL,PRIVATE,ACTIVE,2026-09-12 06:30:12.252,2026-09-12 06:30:12.252,,
f5f7cddb-44a2-4bf5-b526-4781303d44ba,073bd28f-6cda-4839-9a21-8218de3498d9,MOTORCYCLE_ELECTRIC,Motorcycle,MOTORCYCLE,"Two-wheeled motor vehicle including commuter, street and touring motorcycles.",ELECTRIC,PRIVATE,ACTIVE,2026-09-12 06:30:12.252,2026-09-12 06:30:12.252,,
848fead1-8d55-4bf2-9d05-ce4c8352a334,073bd28f-6cda-4839-9a21-8218de3498d9,MOTORCYCLE_CNG,Motorcycle,MOTORCYCLE,"Two-wheeled motor vehicle including commuter, street and touring motorcycles.",CNG,PRIVATE,ACTIVE,2026-09-12 06:30:12.252,2026-09-12 06:30:12.252,,
246e2f07-88c4-47e2-94f1-3b960299f10b,073bd28f-6cda-4839-9a21-8218de3498d9,MOPED_PETROL,Moped,MOPED,Low-powered two-wheeler with moped-style construction.,PETROL,PRIVATE,ACTIVE,2026-09-12 06:30:12.252,2026-09-12 06:30:12.252,,
95e18edb-fac5-4a37-8506-eacfc60f7575,073bd28f-6cda-4839-9a21-8218de3498d9,MOPED_ELECTRIC,Moped,MOPED,Low-powered two-wheeler with moped-style construction.,ELECTRIC,PRIVATE,ACTIVE,2026-09-12 06:30:12.252,2026-09-12 06:30:12.252,,
43bea1e6-fbed-47d1-a73f-5c06c2cfb65d,073bd28f-6cda-4839-9a21-8218de3498d9,E_BICYCLE_ELECTRIC,Electric Bicycle,BICYCLE,Pedal-assisted or low-speed electric bicycle used for personal or delivery mobility.,ELECTRIC,DELIVERY,ACTIVE,2026-09-12 06:30:12.252,2026-09-12 06:30:12.252,,
5648fca6-414c-4b23-a80a-1c3b435c96f1,073bd28f-6cda-4839-9a21-8218de3498d9,MOTORISED_CYCLE_PETROL,Motorised Cycle,MOTORISED_CYCLE,Low-capacity motorised cycle including legacy low-cc classifications.,PETROL,PRIVATE,ACTIVE,2026-09-12 06:30:12.252,2026-09-12 06:30:12.252,,
89f24c90-387e-4c54-9cbc-1f241ba77a4f,073bd28f-6cda-4839-9a21-8218de3498d9,MOTORISED_CYCLE_ELECTRIC,Motorised Cycle,MOTORISED_CYCLE,Low-capacity motorised cycle including legacy low-cc classifications.,ELECTRIC,PRIVATE,ACTIVE,2026-09-12 06:30:12.252,2026-09-12 06:30:12.252,,
e2b92fd3-3382-4932-9359-0cdf5e60b148,073bd28f-6cda-4839-9a21-8218de3498d9,MOTORCYCLE_SIDE_CAR_PETROL,Motorcycle with Side Car,SIDE_CAR,Motorcycle or scooter fitted with a side car.,PETROL,PRIVATE,ACTIVE,2026-09-12 06:30:12.252,2026-09-12 06:30:12.252,,
86df53ff-d1a1-4e3b-b10c-71def64db438,073bd28f-6cda-4839-9a21-8218de3498d9,MOTORCYCLE_SIDE_CAR_ELECTRIC,Motorcycle with Side Car,SIDE_CAR,Motorcycle or scooter fitted with a side car.,ELECTRIC,PRIVATE,ACTIVE,2026-09-12 06:30:12.252,2026-09-12 06:30:12.252,,
643af1a7-ae6a-400e-a099-99cc3251f49d,073bd28f-6cda-4839-9a21-8218de3498d9,MOTORCYCLE_TRAILER_PETROL,Motorcycle with Trailer,TRAILER_ATTACHED,Motorcycle or scooter configured to tow a small trailer.,PETROL,GOODS,ACTIVE,2026-09-12 06:30:12.252,2026-09-12 06:30:12.252,,
9b0c3686-dc55-4ef1-8e16-b1b986472cea,073bd28f-6cda-4839-9a21-8218de3498d9,MOTORCYCLE_TRAILER_ELECTRIC,Motorcycle with Trailer,TRAILER_ATTACHED,Motorcycle or scooter configured to tow a small trailer.,ELECTRIC,GOODS,ACTIVE,2026-09-12 06:30:12.252,2026-09-12 06:30:12.252,,
8d88f119-2213-402b-ad97-38e8f946afaf,073bd28f-6cda-4839-9a21-8218de3498d9,MOTORCYCLE_FOR_HIRE_PETROL,Motorcycle for Hire,COMMERCIAL_2W,Motorcycle or scooter used commercially for hire or shared mobility.,PETROL,SHARED_MOBILITY,ACTIVE,2026-09-12 06:30:12.252,2026-09-12 06:30:12.252,,
b0966e77-3656-489a-b3f4-771a8b01d9f5,073bd28f-6cda-4839-9a21-8218de3498d9,MOTORCYCLE_FOR_HIRE_ELECTRIC,Motorcycle for Hire,COMMERCIAL_2W,Motorcycle or scooter used commercially for hire or shared mobility.,ELECTRIC,SHARED_MOBILITY,ACTIVE,2026-09-12 06:30:12.252,2026-09-12 06:30:12.252,,
53971b2b-4e14-4ab7-bd73-565894a7bad5,c00dd8b6-102b-487a-a15c-af4f9d1293a2,AUTO_RICKSHAW_CNG,Auto Rickshaw,PASSENGER_3W,Three-wheeled passenger auto-rickshaw used for commercial passenger transport.,CNG,PASSENGER,ACTIVE,2026-09-12 06:30:12.252,2026-09-12 06:30:12.252,,
71b51d31-a16d-434f-819e-9ff6221fb200,c00dd8b6-102b-487a-a15c-af4f9d1293a2,AUTO_RICKSHAW_PETROL,Auto Rickshaw,PASSENGER_3W,Three-wheeled passenger auto-rickshaw used for commercial passenger transport.,PETROL,PASSENGER,ACTIVE,2026-09-12 06:30:12.252,2026-09-12 06:30:12.252,,
8f3470a6-9d4d-4e60-a9d0-fdacb20a6df0,c00dd8b6-102b-487a-a15c-af4f9d1293a2,AUTO_RICKSHAW_DIESEL,Auto Rickshaw,PASSENGER_3W,Three-wheeled passenger auto-rickshaw used for commercial passenger transport.,DIESEL,PASSENGER,ACTIVE,2026-09-12 06:30:12.252,2026-09-12 06:30:12.252,,
f172004e-3f18-4609-be24-00a45e34ae2e,c00dd8b6-102b-487a-a15c-af4f9d1293a2,AUTO_RICKSHAW_LPG,Auto Rickshaw,PASSENGER_3W,Three-wheeled passenger auto-rickshaw used for commercial passenger transport.,LPG,PASSENGER,ACTIVE,2026-09-12 06:30:12.252,2026-09-12 06:30:12.252,,
266dc90e-86d7-4692-8707-a89799051e52,c00dd8b6-102b-487a-a15c-af4f9d1293a2,AUTO_RICKSHAW_ELECTRIC,Auto Rickshaw,PASSENGER_3W,Three-wheeled passenger auto-rickshaw used for commercial passenger transport.,ELECTRIC,PASSENGER,ACTIVE,2026-09-12 06:30:12.252,2026-09-12 06:30:12.252,,
fc987432-f54f-4a80-ade0-def546a6006c,c00dd8b6-102b-487a-a15c-af4f9d1293a2,THREE_WHEELER_PASSENGER_CNG,Three Wheeler Passenger,PASSENGER_3W,Passenger-carrying three-wheeler other than conventional auto-rickshaw.,CNG,PASSENGER,ACTIVE,2026-09-12 06:30:12.252,2026-09-12 06:30:12.252,,
2bae708a-499c-4c9a-bcfe-b326329d45a1,c00dd8b6-102b-487a-a15c-af4f9d1293a2,THREE_WHEELER_PASSENGER_PETROL,Three Wheeler Passenger,PASSENGER_3W,Passenger-carrying three-wheeler other than conventional auto-rickshaw.,PETROL,PASSENGER,ACTIVE,2026-09-12 06:30:12.252,2026-09-12 06:30:12.252,,
3915458f-d47f-4ad9-90c3-85adc2247c55,c00dd8b6-102b-487a-a15c-af4f9d1293a2,THREE_WHEELER_PASSENGER_DIESEL,Three Wheeler Passenger,PASSENGER_3W,Passenger-carrying three-wheeler other than conventional auto-rickshaw.,DIESEL,PASSENGER,ACTIVE,2026-09-12 06:30:12.252,2026-09-12 06:30:12.252,,
212ecd2c-18e2-4552-8d0e-437f4d91cd9b,c00dd8b6-102b-487a-a15c-af4f9d1293a2,THREE_WHEELER_PASSENGER_LPG,Three Wheeler Passenger,PASSENGER_3W,Passenger-carrying three-wheeler other than conventional auto-rickshaw.,LPG,PASSENGER,ACTIVE,2026-09-12 06:30:12.252,2026-09-12 06:30:12.252,,
9a611a86-a678-4d49-809b-080f466c1731,c00dd8b6-102b-487a-a15c-af4f9d1293a2,THREE_WHEELER_PASSENGER_ELECTRIC,Three Wheeler Passenger,PASSENGER_3W,Passenger-carrying three-wheeler other than conventional auto-rickshaw.,ELECTRIC,PASSENGER,ACTIVE,2026-09-12 06:30:12.252,2026-09-12 06:30:12.252,,
93cf6508-c481-4fce-8b39-3a2e890300d5,c00dd8b6-102b-487a-a15c-af4f9d1293a2,THREE_WHEELER_GOODS_DIESEL,Three Wheeler Goods,CARGO_3W,Three-wheeled goods carrier for urban and last-mile cargo movement.,DIESEL,GOODS,ACTIVE,2026-09-12 06:30:12.252,2026-09-12 06:30:12.252,,
100adad3-bff8-43c3-8144-5c2d3c926d7c,c00dd8b6-102b-487a-a15c-af4f9d1293a2,THREE_WHEELER_GOODS_CNG,Three Wheeler Goods,CARGO_3W,Three-wheeled goods carrier for urban and last-mile cargo movement.,CNG,GOODS,ACTIVE,2026-09-12 06:30:12.252,2026-09-12 06:30:12.252,,
708118ed-97f5-4596-97d2-4c70f1ed0a17,c00dd8b6-102b-487a-a15c-af4f9d1293a2,THREE_WHEELER_GOODS_PETROL,Three Wheeler Goods,CARGO_3W,Three-wheeled goods carrier for urban and last-mile cargo movement.,PETROL,GOODS,ACTIVE,2026-09-12 06:30:12.252,2026-09-12 06:30:12.252,,
